train_loss,train_accuracy,val_loss,val_accuracy
,0.8541666666666666,,0.8
,0.8090277777777778,,0.8
,0.8090277777777778,,0.8
,0.8541666666666666,,0.8
,0.8541666666666666,,0.8
,0.8090277777777778,,0.8
,0.8541666666666666,,0.8
,0.7638888888888888,,0.8
,0.8090277777777778,,0.8
,0.8090277777777778,,0.8
,0.8090277777777778,,0.8
,0.7638888888888888,,0.8
,0.8090277777777778,,0.8
,0.8541666666666666,,0.8
,0.71875,,0.8
,0.8090277777777778,,0.8
,0.7638888888888888,,0.8
,0.8090277777777778,,0.8
,0.8090277777777778,,0.8
,0.8090277777777778,,0.8
,0.8541666666666666,,0.8
,0.8541666666666666,,0.8
,0.7638888888888888,,0.8
,0.8090277777777778,,0.8
,0.7638888888888888,,0.8
,0.8090277777777778,,0.8
,0.8541666666666666,,0.8
,0.7638888888888888,,0.8
,0.8090277777777778,,0.8
,0.8541666666666666,,0.8
,0.8541666666666666,,0.8
,0.8090277777777778,,0.8
,0.7638888888888888,,0.8
,0.8090277777777778,,0.8
,0.8541666666666666,,0.8
,0.7638888888888888,,0.8
,0.7638888888888888,,0.8
,0.7638888888888888,,0.8
,0.8090277777777778,,0.8
,0.8090277777777778,,0.8
,0.8090277777777778,,0.8
,0.8541666666666666,,0.8
,0.8541666666666666,,0.8
,0.8090277777777778,,0.8
,0.8541666666666666,,0.8
,0.8090277777777778,,0.8
,0.8541666666666666,,0.8
,0.8090277777777778,,0.8
,0.7638888888888888,,0.8
,0.8090277777777778,,0.8
